State,RegionName,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
VA,22202,554000,550900,547600,544200,540900,536800,533100,529800,527600,526500,526000,525400,525400,524900,523500,522100,521100,519900,519000,517900,517400,518200,520000,522200,521200,520700,520200,516400,510000,507900,508100,510700,511200,508000,504300,503200,502500,500700,498300,497800,500200,501200,499400,501000,507700,513400,516200,518600,520700,524200,529500,532600,531900,532500,535900,536900,535300,535000,536200,537000,539000,541000,543700,548500,554600,556900,557300,556200,554600,554100,553300,552400,553300,553400,552300,554300,558200,563700,569300,571700,570600,571100,573200,574600,574600,573100,571200,570700,572500,574000,575000,575700,577000,578200,580300,582600,582900,581400,582100,586100,590500,592900,591500,589400,587900,589200,593000,599300,604600,607200,605400,603600,603300,602200,603700,610600,620800,627200,629000,623600,623900,637200,655800,659300,651300,644000,643300,642300,638900,635600
VA,20002,373500,372600,371300,369100,366500,364000,361800,360000,358300,356800,355300,353600,351800,350500,349000,347100,345000,343700,343200,343000,342700,342600,342400,342600,343100,343100,342900,343500,343700,343200,343100,344100,345000,345000,345900,348200,350000,349600,348300,347200,347400,347700,347400,346800,347500,348700,349600,350700,353100,356500,359800,362900,366300,370200,374000,377800,381900,385800,388600,390300,391400,393000,395900,401500,408000,412700,416200,420000,422500,424300,427900,432100,435100,438300,442200,444800,446700,450000,454900,460000,465200,470900,475200,477400,479500,483100,486900,491000,495900,500400,503000,504800,508200,512600,516800,519900,522000,525400,532200,540800,546400,549900,554200,558300,559400,562300,569500,579800,589600,596400,599400,600400,601000,603900,607300,609800,610900,610100,609700,611600,617700,626700,634600,637700,641000,645800,651000,656000,663100,669900
VA,20009,444100,442300,440200,437900,435800,434200,432900,431800,430800,429800,428500,427400,426800,426400,425600,424300,422800,421600,421000,421100,421900,423000,423800,424100,424700,425600,426400,427000,428300,429500,429300,427900,426900,426900,428200,430800,433000,432300,430400,428800,427800,426900,426300,425100,423800,423000,423500,424000,423700,424300,427200,431200,434500,437100,440000,444000,447300,449900,452000,453800,455400,457300,459300,461800,465000,467900,472000,477000,481600,485200,487600,489000,490600,492900,496100,499200,501100,501700,501300,501200,501400,502000,503100,504500,506500,510000,513100,514600,514900,515500,516300,517300,518300,519000,518100,516000,513200,511300,511600,514300,518100,522400,526100,528100,530000,533800,539100,545000,550800,554700,556100,556200,556800,558800,559700,559000,557600,555400,553100,551300,550700,551700,552700,551600,550300,550100,550600,551300,552400,553100
VA,20011,383200,379100,374700,370600,367400,364300,361500,358400,354900,351400,348000,344800,342400,339900,336700,333300,330200,327000,324100,321300,318700,316700,315200,314600,312300,311500,310900,308200,303400,300500,296900,294500,294600,295500,296300,297100,297800,298000,299600,301200,301900,301700,302200,302000,302300,303700,305200,305700,306300,307200,308000,310500,314500,317900,321600,326700,330900,334100,337900,341700,344600,346400,348500,352300,358400,365600,373500,381100,387700,392600,395900,399100,404000,409800,415600,421000,425600,429500,432100,433500,434700,436600,438600,441300,444500,447300,449200,451000,453500,456900,460300,462000,463000,464300,466100,467700,468600,471700,478500,487200,494900,501500,506800,512000,515900,520300,529800,543100,552100,554300,553900,554800,556900,558200,560700,564400,566900,567500,567600,567700,574900,589600,601400,604700,604400,603200,603800,606000,611200,617600
VA,20001,434900,434600,434100,433600,433100,432300,430700,428100,424900,421500,418200,415100,412600,410100,406900,403000,398800,395200,392900,392200,392700,393900,395100,397200,399000,399500,399900,401400,402000,402100,402300,402400,402900,403800,405600,408200,410000,410300,409700,409000,409600,411100,412000,411400,411000,412100,413200,411600,409700,409800,412300,416400,421300,425200,427600,430100,433300,437200,441000,444400,447200,450000,453100,457700,463100,467200,472100,479100,484700,487300,490600,495900,501800,508500,517300,524300,527800,530200,533800,537400,541500,545800,549200,552200,556600,562200,566000,567500,569400,573600,577900,581400,585300,589300,592400,594600,595600,596200,597400,599900,602900,606400,609400,611400,611900,613900,618100,623100,627100,630400,632100,632500,632600,633400,635200,637700,638800,638300,638500,639500,642400,646300,649200,650900,654000,657900,660600,662700,666400,669900
VA,20019,250300,248600,246700,244900,242900,240800,238600,236000,233200,230400,227400,224200,221200,218200,215200,212500,209800,206800,203600,200400,197600,195600,194200,193400,193100,193400,192500,190100,188500,188300,188200,188500,188700,188200,187700,187800,187700,186500,184300,181500,178200,174500,171500,168400,165900,164400,163300,161900,161100,161100,161900,162800,163400,163300,163800,165000,165800,165900,166700,167400,167100,166700,166400,166600,167700,170000,172100,173600,175600,178300,180400,182000,183300,184300,186300,189200,191900,193600,194300,194700,195900,197100,198000,198900,199900,201400,204000,207000,209700,212200,215000,218000,220400,222000,223900,226000,228000,230700,234500,238500,242100,245200,247300,248800,249500,250900,253400,256600,260700,265300,270000,275000,279200,282800,286200,289900,294500,298000,300200,303100,305700,306000,304300,302300,302300,304600,308800,313500,317400,319800
VA,20020,269000,266800,263700,260400,256800,253300,250800,249200,248000,247100,246400,245500,244900,243900,242300,240700,239100,237100,234800,232000,229100,226600,224600,223800,221400,220100,219100,216200,212600,212900,212900,211400,208700,205600,204300,203900,202300,200000,198100,195900,193100,188300,182700,178800,176800,174800,171100,166700,164200,162800,161300,160500,162100,164400,166900,169300,171000,172200,173700,175300,177900,180600,183500,186800,189000,189400,190800,192500,194000,195800,198100,200400,202400,203700,205400,207400,209600,211400,212400,214200,217000,220100,221700,222400,223500,225400,227400,230100,232700,235000,237300,239500,242000,246200,251700,257100,261100,262800,263600,265300,267500,270300,272900,273900,273900,276100,280400,284400,286700,288900,292500,296200,298400,300800,303500,306000,306900,306400,305800,306300,308200,311600,314100,314300,314100,314500,316500,320500,326000,329600
VA,20008,713800,714900,714400,712100,709000,706100,703100,700400,698000,695700,692800,689800,687600,685900,683300,679700,676100,673800,672800,672800,673600,675200,676600,677700,679700,681200,683900,688800,693300,693900,693100,692300,692100,692800,696000,698800,699400,698700,698800,698300,698600,699900,700800,697900,691800,687000,686500,689200,692100,694800,696800,698300,700400,703000,705000,708400,712900,715100,715000,715900,717600,720200,723700,727400,728700,729600,735000,745400,757100,765000,768500,769100,768600,766800,766300,769900,774200,777300,777200,775400,772300,771100,770100,770700,774000,781700,788400,791500,793700,798200,804800,811600,818400,825600,832200,832800,829700,824400,825300,833400,840600,842800,842400,838500,835200,839300,847300,854700,859200,863900,863800,860000,859200,863600,867100,871300,872500,868800,866600,867900,870300,874000,876800,874400,872600,872300,871000,870700,875200,880400
VA,20003,516400,514000,511200,508900,506300,504000,502800,502000,501000,499900,498900,499000,499700,499800,499800,500300,500000,499800,500100,500400,500700,501500,503400,501400,500500,504800,507100,503000,501400,501700,500500,499700,500500,500800,500700,502400,503800,501600,498800,497600,497300,497200,496700,495900,496300,498400,500000,501900,503800,506300,510800,517900,524300,528100,531500,536700,541700,545900,550500,553800,556000,559000,562900,566500,569000,572000,577200,583000,587900,591900,595800,599100,600600,601200,604000,608600,612800,615300,616100,616200,616800,617000,616700,617500,621600,628300,634200,639200,644700,651500,658600,664600,669200,673100,676600,679800,681900,682700,684600,688600,692000,694700,697100,698300,698100,701000,707700,715500,721000,724900,728200,732400,735600,739200,743200,746800,747900,746900,746100,747700,751200,755200,757700,757500,758500,763000,767700,770600,774500,778600
VA,20032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170300,173900,175700,177400,178500,178600,177500,175800,175700,177400,178400,178000,177400,178500,180500,181400,180400,180900,184000,187800,191500,197500,202900,205700,209000,215800,222600,227600,228300,222800,216200,213800,214400,214800,217800,222000,226300,228300,229100,230400,232800,235500,240100,246300,251300,255600,259300,265200,271600,277200,282200,286400,288800,289900,291300,294800,297300,296700,295400,296000,297400,299000,301400,304400
