"","Borough","Neighborhood","ZipCode","Year","NewBusinesses","TotalNewBiz","MedianPrice","PriceChange"
"1","Bronx","Bronx Park and Fordham","10467",2008,5,59,334200,-0.117040951122853
"2","Bronx","Bronx Park and Fordham","10467",2009,4,61,296100,-0.217701453104359
"3","Bronx","Bronx Park and Fordham","10467",2010,4,69,289000,-0.236459709379128
"4","Bronx","Bronx Park and Fordham","10467",2011,6,80,284600,-0.248084544253633
"5","Bronx","Bronx Park and Fordham","10467",2012,5,80,266600,-0.295640686922061
"6","Bronx","Bronx Park and Fordham","10467",2013,7,100,311100,-0.178071334214003
"7","Bronx","Bronx Park and Fordham","10467",2014,11,166,310300,-0.180184940554822
"8","Bronx","Bronx Park and Fordham","10467",2015,16,203,337000,-0.109643328929987
"9","Bronx","Bronx Park and Fordham","10467",2016,13,191,356400,-0.0583883751651255
"10","Bronx","Bronx Park and Fordham","10467",2017,12,208,383800,0.014002642007926
"11","Bronx","Kingsbridge and Riverdale","10463",2008,3,54,547700,-0.0537318590186593
"12","Bronx","Kingsbridge and Riverdale","10463",2009,3,61,500500,-0.135279889426399
"13","Bronx","Kingsbridge and Riverdale","10463",2010,6,64,449400,-0.22356599861783
"14","Bronx","Kingsbridge and Riverdale","10463",2011,4,71,470400,-0.18728403593642
"15","Bronx","Kingsbridge and Riverdale","10463",2012,13,85,471200,-0.185901865929509
"16","Bronx","Kingsbridge and Riverdale","10463",2013,8,119,467600,-0.192121630960608
"17","Bronx","Kingsbridge and Riverdale","10463",2014,13,127,518300,-0.104526606772633
"18","Bronx","Kingsbridge and Riverdale","10463",2015,14,123,539300,-0.0682446440912232
"19","Bronx","Kingsbridge and Riverdale","10463",2016,15,144,597400,0.0321354526606772
"20","Bronx","Kingsbridge and Riverdale","10463",2017,9,185,647600,0.118866620594333
"21","Bronx","Kingsbridge and Riverdale","10471",2008,1,24,811400,-0.0914791176799911
"22","Bronx","Kingsbridge and Riverdale","10471",2009,2,24,755900,-0.153622214757586
"23","Bronx","Kingsbridge and Riverdale","10471",2010,6,34,694600,-0.22225954540365
"24","Bronx","Kingsbridge and Riverdale","10471",2011,3,45,741800,-0.169409920501624
"25","Bronx","Kingsbridge and Riverdale","10471",2012,2,45,760600,-0.14835964617624
"26","Bronx","Kingsbridge and Riverdale","10471",2013,5,51,760400,-0.148583585264808
"27","Bronx","Kingsbridge and Riverdale","10471",2014,2,46,767400,-0.140745717164931
"28","Bronx","Kingsbridge and Riverdale","10471",2015,3,48,822400,-0.079162467808756
"29","Bronx","Kingsbridge and Riverdale","10471",2016,5,58,894000,0.00100772589855569
"30","Bronx","Kingsbridge and Riverdale","10471",2017,8,57,944400,0.0574403762176687
"31","Bronx","Northeast Bronx","10466",2009,4,49,321600,-0.215226939970717
"32","Bronx","Northeast Bronx","10466",2010,7,55,310100,-0.243289409468033
"33","Bronx","Northeast Bronx","10466",2011,5,48,312400,-0.23767691556857
"34","Bronx","Northeast Bronx","10466",2012,3,59,302500,-0.261835041483651
"35","Bronx","Northeast Bronx","10466",2013,4,72,332500,-0.18862859931674
"36","Bronx","Northeast Bronx","10466",2014,5,100,344000,-0.160566129819424
"37","Bronx","Northeast Bronx","10466",2015,14,137,339800,-0.170815031722792
"38","Bronx","Northeast Bronx","10466",2016,13,160,360300,-0.120790629575403
"39","Bronx","Northeast Bronx","10466",2017,16,158,408900,-0.00219619326500731
"40","Bronx","Northeast Bronx","10469",2008,1,42,374500,-0.0945357833655706
"41","Bronx","Northeast Bronx","10469",2009,1,49,342000,-0.173114119922631
"42","Bronx","Northeast Bronx","10469",2010,5,56,324700,-0.214941972920696
"43","Bronx","Northeast Bronx","10469",2011,6,71,324600,-0.215183752417795
"44","Bronx","Northeast Bronx","10469",2012,5,63,315200,-0.237911025145068
"45","Bronx","Northeast Bronx","10469",2013,7,108,340500,-0.17674081237911
"46","Bronx","Northeast Bronx","10469",2014,10,133,366800,-0.113152804642166
"47","Bronx","Northeast Bronx","10469",2015,15,161,368300,-0.109526112185687
"48","Bronx","Northeast Bronx","10469",2016,11,156,386900,-0.0645551257253385
"49","Bronx","Northeast Bronx","10469",2017,10,185,414400,0.0019342359767891
"50","Bronx","Northeast Bronx","10470",2008,1,11,397000,-0.153337598635103
"51","Bronx","Northeast Bronx","10470",2010,5,23,347400,-0.259117082533589
"52","Bronx","Northeast Bronx","10470",2011,3,25,368100,-0.214971209213052
"53","Bronx","Northeast Bronx","10470",2012,1,19,342700,-0.269140541693325
"54","Bronx","Northeast Bronx","10470",2013,1,29,361500,-0.229046705054383
"55","Bronx","Northeast Bronx","10470",2014,1,41,382400,-0.184474301556835
"56","Bronx","Northeast Bronx","10470",2015,3,41,406700,-0.132650885050117
"57","Bronx","Northeast Bronx","10470",2016,3,54,427300,-0.0887182768180849
"58","Bronx","Northeast Bronx","10470",2017,4,57,459900,-0.019193857965451
"59","Bronx","Southeast Bronx","10461",2008,8,66,414700,-0.0982822352685366
"60","Bronx","Southeast Bronx","10461",2009,10,68,384500,-0.16394868449663
"61","Bronx","Southeast Bronx","10461",2010,7,67,359100,-0.219178082191781
"62","Bronx","Southeast Bronx","10461",2011,4,80,367400,-0.201130680582735
"63","Bronx","Southeast Bronx","10461",2012,7,124,345500,-0.248749728201783
"64","Bronx","Southeast Bronx","10461",2013,12,136,379900,-0.173950858882366
"65","Bronx","Southeast Bronx","10461",2014,7,157,397900,-0.134811915633833
"66","Bronx","Southeast Bronx","10461",2015,16,190,409800,-0.108936725375082
"67","Bronx","Southeast Bronx","10461",2016,17,160,443000,-0.0367471189388998
"68","Bronx","Southeast Bronx","10461",2017,11,169,459100,-0.00173950858882366
"69","Bronx","Southeast Bronx","10462",2008,5,70,112700,-0.0174367916303401
"70","Bronx","Southeast Bronx","10462",2009,7,87,105900,-0.076721883173496
"71","Bronx","Southeast Bronx","10462",2010,5,74,94200,-0.178727114210985
"72","Bronx","Southeast Bronx","10462",2011,8,77,97100,-0.153443766346992
"73","Bronx","Southeast Bronx","10462",2012,10,96,87600,-0.236268526591107
"74","Bronx","Southeast Bronx","10462",2013,2,117,90700,-0.20924149956408
"75","Bronx","Southeast Bronx","10462",2014,6,235,99200,-0.135135135135135
"76","Bronx","Southeast Bronx","10462",2015,21,198,105400,-0.081081081081081
"77","Bronx","Southeast Bronx","10462",2016,19,212,120500,0.050566695727986
"78","Bronx","Southeast Bronx","10462",2017,10,207,133500,0.163905841325196
"79","Bronx","Southeast Bronx","10464",2008,1,10,492100,-0.0995425434583714
"80","Bronx","Southeast Bronx","10464",2010,1,2,481400,-0.119121683440073
"81","Bronx","Southeast Bronx","10464",2011,1,11,441100,-0.192863677950595
"82","Bronx","Southeast Bronx","10464",2013,1,12,412200,-0.245745654162855
"83","Bronx","Southeast Bronx","10464",2014,2,12,428900,-0.215187557182068
"84","Bronx","Southeast Bronx","10464",2016,2,15,483600,-0.115096065873742
"85","Bronx","Southeast Bronx","10464",2017,2,20,518600,-0.0510521500457457
"86","Bronx","Southeast Bronx","10465",2008,1,30,408200,-0.0926872638364081
"87","Bronx","Southeast Bronx","10465",2009,4,28,394300,-0.123583018448544
"88","Bronx","Southeast Bronx","10465",2010,3,44,380400,-0.15447877306068
"89","Bronx","Southeast Bronx","10465",2011,4,35,367000,-0.184263169593243
"90","Bronx","Southeast Bronx","10465",2012,4,47,356000,-0.208713047343854
"91","Bronx","Southeast Bronx","10465",2013,3,60,384100,-0.146254723271838
"92","Bronx","Southeast Bronx","10465",2014,9,81,389800,-0.133585241164703
"93","Bronx","Southeast Bronx","10465",2015,10,109,391200,-0.130473438541898
"94","Bronx","Southeast Bronx","10465",2016,2,87,422400,-0.0611246943765281
"95","Bronx","Southeast Bronx","10465",2017,7,101,469800,0.0442320515670149
"96","Bronx","Southeast Bronx","10473",2008,3,23,341900,-0.0776908551389264
"97","Bronx","Southeast Bronx","10473",2009,2,32,312500,-0.157000269759914
"98","Bronx","Southeast Bronx","10473",2010,2,25,306200,-0.173995144321554
"99","Bronx","Southeast Bronx","10473",2011,2,36,308900,-0.166711626652279
"100","Bronx","Southeast Bronx","10473",2012,4,38,284700,-0.231993525762072
"101","Bronx","Southeast Bronx","10473",2013,3,48,323800,-0.126517399514432
"102","Bronx","Southeast Bronx","10473",2014,5,80,312500,-0.157000269759914
"103","Bronx","Southeast Bronx","10473",2015,4,82,279700,-0.245481521445913
"104","Bronx","Southeast Bronx","10473",2016,6,74,339200,-0.0849743728082007
"105","Bronx","Southeast Bronx","10473",2017,4,90,370300,-0.00107903965470735
"106","Brooklyn","Central Brooklyn","11212",2008,3,46,345500,-0.0322128851540616
"107","Brooklyn","Central Brooklyn","11212",2009,2,48,292000,-0.182072829131653
"108","Brooklyn","Central Brooklyn","11212",2010,1,61,292300,-0.181232492997199
"109","Brooklyn","Central Brooklyn","11212",2011,6,64,262000,-0.266106442577031
"110","Brooklyn","Central Brooklyn","11212",2012,3,74,286500,-0.197478991596639
"111","Brooklyn","Central Brooklyn","11212",2013,2,79,283200,-0.20672268907563
"112","Brooklyn","Central Brooklyn","11212",2014,12,158,305100,-0.145378151260504
"113","Brooklyn","Central Brooklyn","11212",2015,11,155,304600,-0.146778711484594
"114","Brooklyn","Central Brooklyn","11212",2016,13,149,347100,-0.0277310924369748
"115","Brooklyn","Central Brooklyn","11212",2017,15,193,412900,0.156582633053221
"116","Brooklyn","Central Brooklyn","11213",2008,6,63,522400,-0.0807672004223121
"117","Brooklyn","Central Brooklyn","11213",2009,5,62,478900,-0.157311279253915
"118","Brooklyn","Central Brooklyn","11213",2010,5,70,457200,-0.19549533696991
"119","Brooklyn","Central Brooklyn","11213",2011,4,80,447000,-0.213443603730424
"120","Brooklyn","Central Brooklyn","11213",2012,12,120,544000,-0.0427591061059299
"121","Brooklyn","Central Brooklyn","11213",2013,15,144,572400,0.0072144993841281
"122","Brooklyn","Central Brooklyn","11213",2014,19,190,631700,0.111560795354566
"123","Brooklyn","Central Brooklyn","11213",2015,25,246,759300,0.336090093260602
"124","Brooklyn","Central Brooklyn","11213",2016,22,255,868600,0.52841808903748
"125","Brooklyn","Central Brooklyn","11213",2017,20,269,870200,0.531233503431286
"126","Brooklyn","Central Brooklyn","11216",2008,7,77,429300,-0.0516898608349901
"127","Brooklyn","Central Brooklyn","11216",2009,10,77,360600,-0.203445990722333
"128","Brooklyn","Central Brooklyn","11216",2010,7,97,385900,-0.147559089905014
"129","Brooklyn","Central Brooklyn","11216",2011,3,99,401500,-0.113099182681688
"130","Brooklyn","Central Brooklyn","11216",2012,13,131,447100,-0.0123702231058096
"131","Brooklyn","Central Brooklyn","11216",2013,8,173,523500,0.156394963552021
"132","Brooklyn","Central Brooklyn","11216",2014,13,234,673200,0.487077534791252
"133","Brooklyn","Central Brooklyn","11216",2015,23,238,757700,0.673735365584272
"134","Brooklyn","Central Brooklyn","11216",2016,11,260,831300,0.836315440689198
"135","Brooklyn","Central Brooklyn","11216",2017,20,312,830600,0.834769162800972
"136","Brooklyn","Central Brooklyn","11238",2008,3,106,555800,-0.00447787927637466
"137","Brooklyn","Central Brooklyn","11238",2009,3,101,538100,-0.0361812645531077
"138","Brooklyn","Central Brooklyn","11238",2010,10,106,489800,-0.122693892172667
"139","Brooklyn","Central Brooklyn","11238",2011,10,128,548300,-0.0179115171054989
"140","Brooklyn","Central Brooklyn","11238",2012,23,167,591500,0.0594662367902561
